,sale_date,class_id,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track,sale_quantity
0,201609,289403,12,2,1,1,1,6,MT,1.8,L,8-10W,9.5,1,1,1,1,2,1,98.0,4,170.0,4440,1833,1545,1695,1320,5.0,2700,1556,1562,94
1,201609,745137,637,3,2,1,2,6,DCT,1.6,L,10-15W,13.2,1,1,1,1,2,1,94.0,4,159.0,4534,1823,1483,1711,1336,5.0,2648,1553,1544,435
2,201609,714860,831,3,2,2,3,6,AT,1.8,L,10-15W,14.4,1,1,1,1,2,1,105.0,4,176.0,4720,1815,1465,1860,1459,5.0,2770,1579,1589,180
3,201609,175962,750,3,2,1,4,6,AT,1.6,L,10-15W,8.6,1,1,1,1,2,1,81.0,4,155.0,4475,1706,1469,1625,1145,5.0,2603,1460,1500,40
4,201609,270690,98,2,3,3,1,5,MT,1.5,L,5WL,3.9,2,1,1,1,1,1,82.0,4,146.5,4415,1685,1850,1825,1236,5.0,2720,1420,1440,19
5,201609,290854,537,2,1,1,5,0,CVT,2.0,L,15-20W,21.0,1,1,1,1,2,1,114.0,4,190.0,4585,1820,1685,2010,1540,5.0,2620,1580,1580,53
6,201609,692703,807,2,1,1,1,5,MT,1.3,T,10-15W,13.3,1,1,1,1,2,1,101.0,4,202.0,4510,1852,1677,1900,1450,5.0,2650,1575,1570,81
7,201609,978089,12,2,2,1,1,5,MT,1.5,L,5-8W,8.9,1,1,1,1,2,1,80.0,4,140.0,4425,1789,1470,1611,1236,5.0,2650,1502,1492,37
8,201609,219195,638,2,1,3,1,6,AT,1.5,T,10-15W,11.1,1,1,1,1,2,1,110.0,4,210.0,4335,1814,1695,1895,1520,5.0,2560,1525,1520,115
9,201609,851857,75,2,1,2,2,8,AT,2.0,T,25-35W,44.8,3,1,1,1,2,2,193.0,4,400.0,4812,1903,1680,2375,1885,5.0,2857,1645,1645,78
10,201609,304458,106,3,2,1,5,5,MT,1.6,L,10-15W,10.4,1,1,1,1,2,1,90.0,4,154.0,4630,1775,1480,1770,1265,5.0,2700,1535,1535,17
11,201609,349023,450,3,2,1,2,5,MT,1.5,L,10-15W,14.0,1,1,1,1,2,1,84.0,4,146.0,4567,1786,1456,1700,1195,5.0,2662,1540,1558,10
12,201609,281792,872,2,2,1,4,7,DCT,1.8,T,25-35W,18.3,1,1,1,1,2,2,132.0,4,300.0,4319,1785,1441,1885,1435,5.0,2629,1539,1509,10
13,201609,510309,953,2,1,2,4,9,AT,2.0,T,35-50W,44.3,3,1,1,1,2,2,155.0,4,350.0,4661,1898,1664,2360,1860,5.0,2873,1617,1613,83
14,201609,379876,985,3,2,1,6,6,AT,1.2,T,10-15W,16.0,1,1,1,1,2,1,100.0,3,230.0,4590,1820,1488,1736,1320,5.0,2675,1555,1550,7
15,201609,750340,864,2,1,1,1,6,MT,1.5,T,10-15W,13.0,1,1,1,1,2,1,115.0,4,215.0,4530,1900,1700,1860,1485,5.0,2700,1601,1602,29
16,201609,576298,304,2,3,2,1,5,MT,1.6,L,5-8W,7.1,2,1,1,1,2,1,83.0,4,138.0,5055,1695,1960,2160,1560,7.5,3000,1445,1420,158
17,201609,347384,831,3,2,1,3,6,AT,1.6,L,10-15W,9.3,1,1,1,1,2,1,93.8,4,155.5,4600,1780,1445,1720,1260,5.0,2700,1555,1568,28
18,201609,354068,692,3,2,1,5,0,CVT,1.6,L,10-15W,10.1,1,1,1,1,2,1,93.0,4,154.0,4631,1760,1503,1650,1236,5.0,2700,1540,1540,718
19,201609,416749,537,2,1,3,5,0,CVT,1.5,L,10-15W,15.8,1,1,1,1,2,1,96.0,4,155.0,4270,1772,1605,1775,1205,5.0,2610,1540,1530,29
20,201609,125403,761,2,3,2,2,6,AT,3.0,L,35-50W,24.8,1,1,1,1,2,1,187.0,6,290.0,5266,1878,1772,2470,1930,7.0,3088,1593,1603,66
21,201609,409854,638,2,1,1,1,6,MT,1.5,T,10-15W,13.5,1,1,1,1,2,1,110.0,4,210.0,4649,1852,1710,2059,1560,5.0,2680,1565,1565,310
22,201609,786351,836,3,2,1,3,6,MT,1.6,L,10-15W,10.6,1,1,1,1,2,1,93.8,4,155.5,4570,1775,1445,1608,1233,5.0,2700,1549,1562,98
23,201609,281301,750,3,2,2,4,7,DCT,2.0,T,25-35W,27.3,1,1,1,1,2,1,162.0,4,350.0,4872,1834,1484,2120,1600,5.0,2803,1577,1550,22
24,201609,654134,290,2,1,1,7,5,AMT,1.8,L,8-10W,9.2,1,1,1,1,2,1,101.0,4,186.0,4620,1820,1750,1780,1410,5.0,2750,1554,1549,280
25,201609,379876,985,3,2,1,6,4,AT,1.6,L,10-15W,16.0,1,1,1,1,2,1,86.0,4,150.0,4558,1805,1505,1798,1370,5.0,2612,1525,1522,63
26,201609,745137,637,2,2,1,2,6,DCT,1.6,L,10-15W,13.2,1,1,1,1,2,1,94.0,4,159.0,4368,1823,1483,1707,1332,5.0,2648,1553,1544,328
27,201609,425432,750,3,2,1,4,6,AT,1.6,L,10-15W,11.2,1,1,1,1,2,1,81.0,4,155.0,4605,1765,1460,1775,1265,5.0,2610,1517,1493,519
28,201609,871642,637,2,1,1,2,6,AT,1.5,T,20-25W,25.2,3,1,1,1,2,1,133.0,4,240.0,4524,1838,1695,2092,1717,5.0,2690,1563,1565,25
29,201609,416749,537,2,1,3,5,0,CVT,1.8,L,10-15W,15.8,1,1,1,1,2,1,100.0,4,169.0,4270,1772,1605,1775,1304,5.0,2610,1540,1530,72
30,201609,349023,450,3,2,1,2,6,MT,1.5,L,10-15W,14.0,1,1,1,1,2,1,84.0,4,146.0,4666,1807,1460,1670,1240,5.0,2700,1541,1561,49
31,201609,576298,304,2,3,2,1,5,MT,2.0,L,5-8W,7.1,2,1,1,1,2,1,89.0,4,168.0,4715,1720,1950,2335,1810,7.5,2800,1445,1420,40
32,201609,559132,692,3,2,2,5,0,CVT,2.5,L,20-25W,18.0,1,1,1,1,2,1,137.0,4,234.0,4891,1830,1490,1900,1497,5.0,2775,1585,1585,7
33,201610,290854,537,2,1,1,5,0,CVT,2.0,L,15-20W,20.9,1,1,1,1,2,1,114.0,4,190.0,4585,1820,1685,2010,1525,5.0,2620,1580,1580,160
34,201609,819061,831,2,1,1,3,6,MT,2.0,L,15-20W,15.3,1,1,1,1,2,1,121.0,4,199.0,4450,1855,1635,1980,1431,5.0,2640,1614,1615,8
35,201610,482497,872,2,1,2,4,8,AT,2.0,T,35-50W,46.1,3,1,1,1,2,2,165.0,4,350.0,4629,1898,1655,2365,1900,5.0,2807,1617,1614,125
36,201610,614059,953,3,2,2,4,7,AT,2.0,T,35-50W,36.7,2,1,1,1,2,2,135.0,4,300.0,4783,1810,1442,2120,1640,5.0,2920,1572,1538,10
37,201610,527809,953,3,2,4,4,9,AT,2.0,T,35-50W,61.8,2,1,1,1,2,2,135.0,4,300.0,5065,1860,1467,2305,1770,5.0,3079,1596,1600,28
38,201610,472603,985,3,2,1,6,5,MT,1.8,L,10-15W,12.5,1,1,1,1,2,1,102.0,4,172.0,4750,1820,1488,1730,1315,5.0,2730,1555,1550,17
39,201610,124140,783,2,1,1,1,6,AT,1.8,T,10-15W,10.6,1,1,1,1,2,1,130.0,4,230.0,4650,1850,1695,2075,1665,5.0,2700,1565,1565,180
40,201609,472603,985,3,2,1,6,6,AT,1.6,T,10-15W,13.5,1,1,1,1,2,1,123.0,4,245.0,4750,1820,1488,1820,1415,5.0,2730,1555,1550,118
41,201609,291514,783,2,1,3,1,4,AT,1.6,L,8-10W,8.7,1,1,1,1,2,1,92.0,4,160.0,4160,1810,1635,1665,1290,5.0,2560,1560,1560,30
42,201609,692703,807,2,1,1,1,5,MT,1.5,T,10-15W,13.3,1,1,1,1,2,1,112.0,4,235.0,4510,1852,1677,1900,1465,5.0,2650,1575,1570,104
43,201609,693436,12,3,2,1,1,6,DCT,1.3,T,10-15W,9.3,1,1,1,1,2,1,95.0,4,185.0,4725,1802,1478,1755,1380,5.0,2700,1551,1546,9
44,201609,649213,75,3,2,2,2,8,AT,2.0,T,25-35W,29.8,2,1,1,1,2,2,200.0,4,400.0,4730,1824,1426,1996,1600,5.0,2860,1535,1578,97
45,201609,854079,537,3,2,1,5,5,MT,1.8,L,10-15W,12.5,1,1,1,1,2,1,100.0,4,169.0,4664,1750,1505,1665,1251,5.0,2650,1500,1485,8
46,201609,453752,814,3,2,2,4,8,AT,2.0,T,35-50W,29.2,2,1,1,1,2,2,135.0,4,270.0,4760,1811,1455,2025,1615,5.0,2920,1537,1576,67
47,201609,587678,537,2,1,3,5,0,CVT,1.8,L,15-20W,14.0,1,1,1,1,2,1,100.0,4,169.0,4294,1772,1605,1770,1302,5.0,2610,1535,1540,116
